zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
46	39	JJ096	39	19r	19r	2	AF	0	115	4104	2766	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo979dj242lg/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo979dj242lg/full/1200,/0/default.jpg	4104	6637
47	39	JJ096	39	19r	19r	1	AI	0	2880	4103	3639	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo979dj242lg/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo979dj242lg/full/1200,/0/default.jpg	4104	6637
48	40	JJ096	40	19v	19v	3	AM	0	93	3960	6444	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxsdcsa8m6vv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxsdcsa8m6vv/full/1200,/0/default.jpg	3968	6645
49	41	JJ096	41	20r	20r	3	AM	0	102	4104	6411	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvzqbu8gpk5y/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvzqbu8gpk5y/full/1200,/0/default.jpg	4104	6637
50	42	JJ096	42	20v	20v	2	AF	37	117	3926	6458	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsfcbhgd2xav/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsfcbhgd2xav/full/1200,/0/default.jpg	3968	6645
51	43	JJ096	43	21r	21r	0	AC	0	77	4104	2796	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	4104	6637
52	43	JJ096	43	21r	21r	0	AC	0	2779	4101	1671	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	4104	6637
53	43	JJ096	43	21r	21r	1	AI	0	4437	4104	2070	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vannlwasr5or/full/1200,/0/default.jpg	4104	6637
54	44	JJ096	44	21v	21v	2	AF	54	131	3911	1009	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	3968	6645
55	44	JJ096	44	21v	21v	0	AC	99	1135	3867	2047	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	3968	6645
56	44	JJ096	44	21v	21v	1	AI	118	3187	3848	3403	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv0m4gbpmah1/full/1200,/0/default.jpg	3968	6645
57	45	JJ096	45	22r	22r	3	AM	0	59	4104	6483	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmti37l1igc5/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmti37l1igc5/full/1200,/0/default.jpg	4104	6637
58	46	JJ096	46	22v	22v	2	AF	0	128	4008	5429	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y2erukflgf/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y2erukflgf/full/1200,/0/default.jpg	4008	6645
59	46	JJ096	46	22v	22v	1	AI	23	5574	3983	1020	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y2erukflgf/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y2erukflgf/full/1200,/0/default.jpg	4008	6645
60	47	JJ096	47	23r	23r	2	AF	0	104	4102	2048	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7kwjaitsjgl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7kwjaitsjgl/full/1200,/0/default.jpg	4104	6637
61	47	JJ096	47	23r	23r	1	AI	0	2132	4103	4391	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7kwjaitsjgl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7kwjaitsjgl/full/1200,/0/default.jpg	4104	6637
62	48	JJ096	48	23v	23v	2	AF	0	124	3934	3751	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2ksnma4yg9x/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2ksnma4yg9x/full/1200,/0/default.jpg	3936	6645
63	48	JJ096	48	23v	23v	1	AI	0	3818	3932	2751	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2ksnma4yg9x/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2ksnma4yg9x/full/1200,/0/default.jpg	3936	6645
64	49	JJ096	49	24r	24r	2	AF	0	92	4104	1678	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vinoc83yoj59/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vinoc83yoj59/full/1200,/0/default.jpg	4104	6637
65	49	JJ096	49	24r	24r	0	AC	0	1775	4101	4756	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vinoc83yoj59/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vinoc83yoj59/full/1200,/0/default.jpg	4104	6637
66	50	JJ096	50	24v	24v	0	AC	0	141	3936	2766	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfpjyibhywkj/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfpjyibhywkj/full/1200,/0/default.jpg	3936	6645
67	50	JJ096	50	24v	24v	0	AC	2	2903	3934	3671	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfpjyibhywkj/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfpjyibhywkj/full/1200,/0/default.jpg	3936	6645
68	51	JJ096	51	25r	25r	0	AC	0	82	4102	5114	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp750c4gl1z9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp750c4gl1z9/full/1200,/0/default.jpg	4104	6637
69	51	JJ096	51	25r	25r	1	AI	0	5178	4096	1297	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp750c4gl1z9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp750c4gl1z9/full/1200,/0/default.jpg	4104	6637
70	52	JJ096	52	25v	25v	2	AF	156	148	3828	3883	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpchta6cgfs5/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpchta6cgfs5/full/1200,/0/default.jpg	3984	6645
71	52	JJ096	52	25v	25v	1	AI	202	4024	3782	2512	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpchta6cgfs5/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpchta6cgfs5/full/1200,/0/default.jpg	3984	6645
72	53	JJ096	53	26r	26r	3	AM	0	91	4102	6443	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyqoa8n7t6w0/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyqoa8n7t6w0/full/1200,/0/default.jpg	4104	6637
73	54	JJ096	54	26v	26v	3	AM	159	138	3825	6386	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcwdgdzhd86p/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcwdgdzhd86p/full/1200,/0/default.jpg	3984	6645
74	55	JJ096	55	27r	27r	2	AF	0	85	4104	1183	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	4104	6637
75	55	JJ096	55	27r	27r	0	AC	0	1211	4097	3102	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	4104	6637
76	55	JJ096	55	27r	27r	1	AI	0	4307	4098	2209	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0wchc4nbv/full/1200,/0/default.jpg	4104	6637
77	56	JJ096	56	27v	27v	2	AF	46	40	1154	1189	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcl3zsw6pxil/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcl3zsw6pxil/full/1200,/0/default.jpg	1200	2002
78	56	JJ096	56	27v	27v	0	AC	54	1217	1146	758	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcl3zsw6pxil/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcl3zsw6pxil/full/1200,/0/default.jpg	1200	2002
79	57	JJ096	57	28r	28r	0	AC	0	119	4104	2803	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	4104	6637
80	57	JJ096	57	28r	28r	0	AC	0	2914	4104	1616	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	4104	6637
81	57	JJ096	57	28r	28r	0	AC	0	4497	4102	2069	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbyzagcjm2am/full/1200,/0/default.jpg	4104	6637
82	58	JJ096	58	28v	28v	0	AC	157	128	3827	1858	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v37ylj29uylg/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v37ylj29uylg/full/1200,/0/default.jpg	3984	6645
83	58	JJ096	58	28v	28v	1	AI	143	1976	3841	4534	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v37ylj29uylg/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v37ylj29uylg/full/1200,/0/default.jpg	3984	6645
84	59	JJ096	59	29r	29r	2	AF	0	52	4104	2016	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1l8ysxwbj79/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1l8ysxwbj79/full/1200,/0/default.jpg	4104	6637
85	59	JJ096	59	29r	29r	0	AC	1	2053	4104	4476	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1l8ysxwbj79/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1l8ysxwbj79/full/1200,/0/default.jpg	4104	6637
86	60	JJ096	60	29v	29v	0	AC	185	110	3799	1896	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjiqw2dzcz3j/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjiqw2dzcz3j/full/1200,/0/default.jpg	3984	6645
87	60	JJ096	60	29v	29v	0	AC	167	2004	3817	4503	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjiqw2dzcz3j/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjiqw2dzcz3j/full/1200,/0/default.jpg	3984	6645
88	61	JJ096	61	30r	30r	0	AC	0	91	4104	2274	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxp30yxzke16/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxp30yxzke16/full/1200,/0/default.jpg	4104	6637
89	61	JJ096	61	30r	30r	1	AI	0	2323	4104	4155	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxp30yxzke16/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxp30yxzke16/full/1200,/0/default.jpg	4104	6637
90	62	JJ096	62	30v	30v	2	AF	123	141	3819	1860	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmzykw944jnn/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmzykw944jnn/full/1200,/0/default.jpg	3984	6645
91	62	JJ096	62	30v	30v	1	AI	136	1995	3838	4569	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmzykw944jnn/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmzykw944jnn/full/1200,/0/default.jpg	3984	6645
92	63	JJ096	63	31r	31r	3	AM	0	78	4102	6420	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9kpmj1mnlkc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9kpmj1mnlkc/full/1200,/0/default.jpg	4104	6637
93	64	JJ096	64	31v	31v	2	AF	157	116	3827	2144	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	3984	6645
94	64	JJ096	64	31v	31v	0	AC	147	2216	3837	3049	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	3984	6645
95	64	JJ096	64	31v	31v	1	AI	144	5095	3840	1361	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/volamkv0l1nl/full/1200,/0/default.jpg	3984	6645
