"annotation_id","annotator","created_at","folio_label","folio_sort_key","id","image","image_id","image_path","label","lead_time","register","updated_at","volume"
29150,"1","2026-06-03T14:42:20.712770Z","VIIIv",18,29150,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxcpg7ncu0d2/full/1200,/0/default.jpg",18,"Paris_Archives_Nationales_JJ160_18.jpg","[{""x"":5.15,""y"":2.425,""width"":94.72,""height"":95.23,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29151,"1","2026-06-03T14:42:20.712770Z","1r",19,29151,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vl56xe6h1fth/full/1200,/0/default.jpg",19,"Paris_Archives_Nationales_JJ160_19.jpg","[{""x"":0.03,""y"":2.935,""width"":89.2,""height"":94.53,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29152,"1","2026-06-03T14:42:20.712770Z","1v",20,29152,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfysuxm4kr2w/full/1200,/0/default.jpg",20,"Paris_Archives_Nationales_JJ160_20.jpg","[{""x"":5.36,""y"":0.185,""width"":94.48,""height"":64.21,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1502},{""x"":3.395,""y"":64.275,""width"":96.55,""height"":32.27,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29153,"1","2026-06-03T14:42:20.712770Z","2r",21,29153,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhi44uz581qd/full/1200,/0/default.jpg",21,"Paris_Archives_Nationales_JJ160_21.jpg","[{""x"":0.085,""y"":69.925,""width"":97.31,""height"":27.33,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1368},{""x"":0.03,""y"":2.1,""width"":91.4,""height"":67.86,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29154,"1","2026-06-03T14:42:20.712770Z","2v",22,29154,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7ose5uuzbax/full/1200,/0/default.jpg",22,"Paris_Archives_Nationales_JJ160_22.jpg","[{""x"":7.31,""y"":1.43,""width"":92.64,""height"":96.18,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29155,"1","2026-06-03T14:42:20.712770Z","3r",23,29155,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v44ur8eiab0t/full/1200,/0/default.jpg",23,"Paris_Archives_Nationales_JJ160_23.jpg","[{""x"":0.06,""y"":4.24,""width"":89.36,""height"":93.2,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29156,"1","2026-06-03T14:42:20.712770Z","3v",24,29156,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf5ofawg1aop/full/1200,/0/default.jpg",24,"Paris_Archives_Nationales_JJ160_24.jpg","[{""x"":6.805,""y"":1.775,""width"":93.11,""height"":95.37,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29157,"1","2026-06-03T14:42:20.712770Z","4r",25,29157,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v23vxxu87rdc/full/1200,/0/default.jpg",25,"Paris_Archives_Nationales_JJ160_25.jpg","[{""x"":0.065,""y"":52.75,""width"":91.57,""height"":44.4,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368},{""x"":0.0,""y"":2.52,""width"":92.14,""height"":50.28,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29158,"1","2026-06-03T14:42:20.712770Z","4v",26,29158,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vl4kznvbopqt/full/1200,/0/default.jpg",26,"Paris_Archives_Nationales_JJ160_26.jpg","[{""x"":6.705,""y"":0.255,""width"":93.09,""height"":50.87,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1502},{""x"":7.59,""y"":51.215,""width"":92.36,""height"":45.45,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29159,"1","2026-06-03T14:42:20.712770Z","5r",27,29159,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd54am5kbvne/full/1200,/0/default.jpg",27,"Paris_Archives_Nationales_JJ160_27.jpg","[{""x"":0.12,""y"":3.365,""width"":86.94,""height"":93.81,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29160,"1","2026-06-03T14:42:20.712770Z","5v",28,29160,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqkckskb6wwa/full/1200,/0/default.jpg",28,"Paris_Archives_Nationales_JJ160_28.jpg","[{""x"":6.625,""y"":2.245,""width"":93.29,""height"":94.11,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29161,"1","2026-06-03T14:42:20.712770Z","6r",29,29161,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhwyd7m3ygg4/full/1200,/0/default.jpg",29,"Paris_Archives_Nationales_JJ160_29.jpg","[{""x"":0.105,""y"":61.11,""width"":93.77,""height"":36.1,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368},{""x"":0.06,""y"":3.74,""width"":89.4,""height"":57.56,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29162,"1","2026-06-03T14:42:20.712770Z","6v",30,29162,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkqrqa2lyhbi/full/1200,/0/default.jpg",30,"Paris_Archives_Nationales_JJ160_30.jpg","[{""x"":6.365,""y"":2.65,""width"":93.53,""height"":93.44,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29163,"1","2026-06-03T14:42:20.712770Z","7r",31,29163,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtvae6hb3stz/full/1200,/0/default.jpg",31,"Paris_Archives_Nationales_JJ160_31.jpg","[{""x"":0.115,""y"":3.935,""width"":93.63,""height"":40.41,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368},{""x"":0.005,""y"":44.02,""width"":90.63,""height"":53.26,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29164,"1","2026-06-03T14:42:20.712770Z","7v",32,29164,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq77ca5sr9dh/full/1200,/0/default.jpg",32,"Paris_Archives_Nationales_JJ160_32.jpg","[{""x"":5.61,""y"":1.995,""width"":94.28,""height"":94.89,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29165,"1","2026-06-03T14:42:20.712770Z","8r",33,29165,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v03s3pqk08ev/full/1200,/0/default.jpg",33,"Paris_Archives_Nationales_JJ160_33.jpg","[{""x"":0,""y"":4.335,""width"":88.44,""height"":93.51,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1368}]",6.513,"JJ160","2026-06-05T08:41:59.150108Z","JJ160"
29166,"1","2026-06-03T14:42:20.712770Z","8v",34,29166,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjt2146ty5j5/full/1200,/0/default.jpg",34,"Paris_Archives_Nationales_JJ160_34.jpg","[{""x"":6.31,""y"":2.515,""width"":93.64,""height"":95.17,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29167,"1","2026-06-03T14:42:20.712770Z","9r",35,29167,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdwgip7s2pt6/full/1200,/0/default.jpg",35,"Paris_Archives_Nationales_JJ160_35.jpg","[{""x"":-0.005,""y"":4.335,""width"":90.23,""height"":93.57,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29168,"1","2026-06-03T14:42:20.712770Z","9v",36,29168,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/viwv8hvhwr1p/full/1200,/0/default.jpg",36,"Paris_Archives_Nationales_JJ160_36.jpg","[{""x"":5.085,""y"":1.55,""width"":94.85,""height"":95.6,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29169,"1","2026-06-03T14:42:20.712770Z","10r",37,29169,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vu2u0vt6fzjb/full/1200,/0/default.jpg",37,"Paris_Archives_Nationales_JJ160_37.jpg","[{""x"":0.02,""y"":3.24,""width"":88.92,""height"":94.6,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29170,"1","2026-06-03T14:42:20.712770Z","10v",38,29170,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf20mu3co9uk/full/1200,/0/default.jpg",38,"Paris_Archives_Nationales_JJ160_38.jpg","[{""x"":8.225,""y"":31.68,""width"":91.77,""height"":66.62,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502},{""x"":0.915,""y"":0.215,""width"":98.87,""height"":31.25,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1502}]",4.362,"JJ160","2026-06-05T08:42:05.682853Z","JJ160"
29171,"1","2026-06-03T14:42:20.712770Z","11r",39,29171,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5321lysmonp/full/1200,/0/default.jpg",39,"Paris_Archives_Nationales_JJ160_39.jpg","[{""x"":0.045,""y"":2.865,""width"":88.89,""height"":94.77,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29172,"1","2026-06-03T14:42:20.712770Z","11v",40,29172,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjnlcu0bdcrg/full/1200,/0/default.jpg",40,"Paris_Archives_Nationales_JJ160_40.jpg","[{""x"":5.295,""y"":0.13,""width"":94.59,""height"":97.4,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29173,"1","2026-06-03T14:42:20.712770Z","12r",41,29173,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdeahqyqkjwo/full/1200,/0/default.jpg",41,"Paris_Archives_Nationales_JJ160_41.jpg","[{""x"":0.205,""y"":3.75,""width"":88.25,""height"":94.22,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.712770Z","JJ160"
29174,"1","2026-06-03T14:42:20.713772Z","12v",42,29174,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmx9lpw9dls0/full/1200,/0/default.jpg",42,"Paris_Archives_Nationales_JJ160_42.jpg","[{""x"":6.555,""y"":1.8,""width"":93.35,""height"":95.34,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.713772Z","JJ160"
29175,"1","2026-06-03T14:42:20.713772Z","13r",43,29175,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v75v8g9k8pym/full/1200,/0/default.jpg",43,"Paris_Archives_Nationales_JJ160_43.jpg","[{""x"":0.05,""y"":3.95,""width"":88.86,""height"":93.6,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1368}]",13.732,"JJ160","2026-06-05T08:42:50.980656Z","JJ160"
29176,"1","2026-06-03T14:42:20.713772Z","13v",44,29176,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzfcy6xi2l4z/full/1200,/0/default.jpg",44,"Paris_Archives_Nationales_JJ160_44.jpg","[{""x"":4.18,""y"":2.12,""width"":95.78,""height"":97.0,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.713772Z","JJ160"
29177,"1","2026-06-03T14:42:20.713772Z","14r",45,29177,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuqpqz2cs3jx/full/1200,/0/default.jpg",45,"Paris_Archives_Nationales_JJ160_45.jpg","[{""x"":0.01,""y"":23.165,""width"":96.32,""height"":6.53,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1368},{""x"":0.285,""y"":0.85,""width"":99.67,""height"":22.38,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368},{""x"":0.0,""y"":27.78,""width"":92.58,""height"":69.72,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.713772Z","JJ160"
29178,"1","2026-06-03T14:42:20.713772Z","14v",46,29178,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyre7cmwb8wq/full/1200,/0/default.jpg",46,"Paris_Archives_Nationales_JJ160_46.jpg","[{""x"":4.745,""y"":0.895,""width"":95.17,""height"":97.91,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.713772Z","JJ160"
29179,"1","2026-06-03T14:42:20.713772Z","15r",47,29179,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlvwiez4jyy9/full/1200,/0/default.jpg",47,"Paris_Archives_Nationales_JJ160_47.jpg","[{""x"":0.0,""y"":53.715,""width"":91.52,""height"":43.25,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1368},{""x"":0.1,""y"":1.245,""width"":95.28,""height"":52.39,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.713772Z","JJ160"
29180,"1","2026-06-03T14:42:20.718773Z","15v",48,29180,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnp9p11tlzrc/full/1200,/0/default.jpg",48,"Paris_Archives_Nationales_JJ160_48.jpg","[{""x"":2.61,""y"":73.395,""width"":97.3,""height"":23.99,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1502},{""x"":3.27,""y"":1.615,""width"":96.62,""height"":71.87,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29181,"1","2026-06-03T14:42:20.718773Z","16r",49,29181,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vezp1v0asqvo/full/1200,/0/default.jpg",49,"Paris_Archives_Nationales_JJ160_49.jpg","[{""x"":0.065,""y"":3.06,""width"":88.09,""height"":94.8,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29182,"1","2026-06-03T14:42:20.718773Z","16v",50,29182,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vne2milkhv86/full/1200,/0/default.jpg",50,"Paris_Archives_Nationales_JJ160_50.jpg","[{""x"":0.085,""y"":0.82,""width"":99.83,""height"":99.02,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1473}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29183,"1","2026-06-03T14:42:20.718773Z","17r",51,29183,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y85rt5i5ji/full/1200,/0/default.jpg",51,"Paris_Archives_Nationales_JJ160_51.jpg","[{""x"":0.0,""y"":3.585,""width"":86.9,""height"":93.61,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1370}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29184,"1","2026-06-03T14:42:20.718773Z","17v",52,29184,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvldvv6mqu95/full/1200,/0/default.jpg",52,"Paris_Archives_Nationales_JJ160_52.jpg","[{""x"":0.1,""y"":0.18,""width"":99.84,""height"":99.08,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1473}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29185,"1","2026-06-03T14:42:20.718773Z","18r",53,29185,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwwnih4dpbio/full/1200,/0/default.jpg",53,"Paris_Archives_Nationales_JJ160_53.jpg","[{""x"":0.005,""y"":40.24,""width"":89.37,""height"":56.9,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1370},{""x"":0.0,""y"":3.37,""width"":87.52,""height"":36.8,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1370}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29186,"1","2026-06-03T14:42:20.718773Z","18v",54,29186,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjofctyidgdy/full/1200,/0/default.jpg",54,"Paris_Archives_Nationales_JJ160_54.jpg","[{""x"":0.23,""y"":3.245,""width"":99.68,""height"":96.63,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1473}]","","JJ160","2026-06-03T14:42:20.718773Z","JJ160"
29187,"1","2026-06-03T14:42:20.719772Z","19r",55,29187,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vu8t0ukv4ps0/full/1200,/0/default.jpg",55,"Paris_Archives_Nationales_JJ160_55.jpg","[{""x"":0.0,""y"":2.945,""width"":86.7,""height"":94.09,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1370}]","","JJ160","2026-06-03T14:42:20.719772Z","JJ160"
29188,"1","2026-06-03T14:42:20.719772Z","19v",56,29188,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdaiho8t7wcv/full/1200,/0/default.jpg",56,"Paris_Archives_Nationales_JJ160_56.jpg","[{""x"":0.095,""y"":3.27,""width"":99.83,""height"":96.1,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1473}]","","JJ160","2026-06-03T14:42:20.719772Z","JJ160"
29189,"1","2026-06-03T14:42:20.719772Z","20r",57,29189,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbopa62rk1ls/full/1200,/0/default.jpg",57,"Paris_Archives_Nationales_JJ160_57.jpg","[{""x"":0.005,""y"":2.96,""width"":85.95,""height"":94.46,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1370}]","","JJ160","2026-06-03T14:42:20.719772Z","JJ160"
29190,"1","2026-06-03T14:42:20.719772Z","20v",58,29190,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvmnfhs5atil/full/1200,/0/default.jpg",58,"Paris_Archives_Nationales_JJ160_58.jpg","[{""x"":0.565,""y"":2.905,""width"":99.41,""height"":96.73,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1473}]","","JJ160","2026-06-03T14:42:20.719772Z","JJ160"
29191,"1","2026-06-03T14:42:20.719772Z","21r",59,29191,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb09jtgf5cru/full/1200,/0/default.jpg",59,"Paris_Archives_Nationales_JJ160_59.jpg","[{""x"":-0.005,""y"":3.125,""width"":89.67,""height"":95.11,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1370}]","","JJ160","2026-06-03T14:42:20.719772Z","JJ160"
