zone_id	image_id	register	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
28	19	JJ200	JJ200	19	9r	9r	0	AC	4	2725	3828	1498	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2tqfo197mya/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_19.jpg	3840	4245
29	20	JJ200	JJ200	20	9v	9v	3	AM	11	3	3798	4180	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnctng5te90/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_20.jpg	3810	4191
30	21	JJ200	JJ200	21	10r	10r	3	AM	13	3	3787	4197	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm5hhc18kyae/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_21.jpg	3804	4203
31	22	JJ200	JJ200	22	10v	10v	2	AF	0	13	3831	2539	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vop2qzadylam/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_22.jpg	3834	4299
32	22	JJ200	JJ200	22	10v	10v	0	AC	3	2554	3830	1715	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vop2qzadylam/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_22.jpg	3834	4299
33	23	JJ200	JJ200	23	11r	11r	2	AF	0	3	3794	1276	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vy49ea3tj3fp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_23.jpg	3801	4203
34	23	JJ200	JJ200	23	11r	11r	0	AC	1	1281	3791	1537	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vy49ea3tj3fp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_23.jpg	3801	4203
35	23	JJ200	JJ200	23	11r	11r	1	AI	0	2808	3794	1392	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vy49ea3tj3fp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_23.jpg	3801	4203
36	24	JJ200	JJ200	24	11v	11v	2	AF	7	5	3781	4260	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlx1n5mlf1a5/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_24.jpg	3792	4296
37	25	JJ200	JJ200	25	12r	12r	1	AI	2	2	3748	4182	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v415ee30ppyt/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_25.jpg	3753	4203
38	26	JJ200	JJ200	26	12v	12v	2	AF	2	0	3757	1666	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzd327n6mcsj/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_26.jpg	3765	4239
39	26	JJ200	JJ200	26	12v	12v	0	AC	2	1663	3758	2566	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzd327n6mcsj/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_26.jpg	3765	4239
40	27	JJ200	JJ200	27	13r	13r	2	AF	0	4	3702	2699	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vefp0141ba5d/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_27.jpg	3702	4203
41	27	JJ200	JJ200	27	13r	13r	0	AC	0	2717	3702	1403	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vefp0141ba5d/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_27.jpg	3702	4203
42	28	JJ200	JJ200	28	13v	13v	2	AF	11	4	3786	4213	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfkrjlg9k98x/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_28.jpg	3798	4266
43	29	JJ200	JJ200	29	14r	14r	2	AF	3	2	3648	634	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdb50hrd9brp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_29.jpg	3654	4152
44	29	JJ200	JJ200	29	14r	14r	0	AC	0	634	3652	3483	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdb50hrd9brp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_29.jpg	3654	4152
45	30	JJ200	JJ200	30	14v	14v	0	AC	5	7	3703	4150	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0rq5t2fzfvk/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_30.jpg	3711	4161
46	31	JJ200	JJ200	31	15r	15r	0	AC	21	6	3930	4288	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6f5nopxxnb8/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_31.jpg	3951	4302
47	32	JJ200	JJ200	32	15v	15v	2	AF	0	1	3869	924	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsbqkp0wgpw8/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_32.jpg	3870	4236
48	32	JJ200	JJ200	32	15v	15v	0	AC	11	921	3858	3307	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsbqkp0wgpw8/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_32.jpg	3870	4236
49	32	JJ200	JJ200	32	15v	15v	1	AI	9	925	3860	3301	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsbqkp0wgpw8/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_32.jpg	3870	4236
50	33	JJ200	JJ200	33	16r	16r	2	AF	2	2	3951	811	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vg22ii2yem5t/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_33.jpg	3954	4305
51	33	JJ200	JJ200	33	16r	16r	1	AI	2	804	3951	3490	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vg22ii2yem5t/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_33.jpg	3954	4305
52	34	JJ200	JJ200	34	16v	16v	0	AC	8	3	3942	4253	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vssiiqf61nzd/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_34.jpg	3954	4257
53	35	JJ200	JJ200	35	17r	17r	0	AC	0	13	3954	2244	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vej2efj3crjf/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_35.jpg	3954	4302
54	35	JJ200	JJ200	35	17r	17r	0	AC	15	2251	3938	2022	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vej2efj3crjf/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_35.jpg	3954	4302
55	36	JJ200	JJ200	36	17v	17v	0	AC	8	0	3936	2321	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vu2xw0ci55by/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_36.jpg	3948	4191
56	36	JJ200	JJ200	36	17v	17v	2	AF	7	1	3940	2315	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vu2xw0ci55by/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_36.jpg	3948	4191
57	36	JJ200	JJ200	36	17v	17v	1	AI	6	2310	3940	1874	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vu2xw0ci55by/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_36.jpg	3948	4191
58	37	JJ200	JJ200	37	18r	18r	3	AM	4	1	3949	4288	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnto3zpry25i/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_37.jpg	3954	4302
59	38	JJ200	JJ200	38	18v	18v	3	AM	46	2	3997	4246	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5jyonbg7qaa/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_38.jpg	4044	4258
60	39	JJ200	JJ200	39	19r	19r	2	AF	8	1	4125	1300	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo6a0pg50etu/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_39.jpg	4134	4262
61	39	JJ200	JJ200	39	19r	19r	3	AM	9	141	4124	4115	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo6a0pg50etu/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_39.jpg	4134	4262
62	40	JJ200	JJ200	40	19v	19v	3	AM	1	2	4030	4178	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3wtsnrvta0c/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_40.jpg	4032	4182
63	41	JJ200	JJ200	41	20r	20r	2	AF	2	3	4036	2427	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8p0j579fhym/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_41.jpg	4047	4269
64	41	JJ200	JJ200	41	20r	20r	1	AI	124	2431	3916	1686	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8p0j579fhym/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_41.jpg	4047	4269
65	42	JJ200	JJ200	42	20v	20v	2	AF	5	1	4065	4191	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsyc84cny6qu/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_42.jpg	4071	4197
66	43	JJ200	JJ200	43	21r	21r	0	AC	15	4	3938	2248	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0jisfb2goa5/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_43.jpg	3954	4302
67	43	JJ200	JJ200	43	21r	21r	1	AI	16	2249	3937	2040	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0jisfb2goa5/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_43.jpg	3954	4302
68	44	JJ200	JJ200	44	21v	21v	2	AF	9	1	4088	1654	https://iiif.irht.cnrs.fr/iiif/ark:/63955/voubw3qd2d60/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_44.jpg	4098	4212
69	44	JJ200	JJ200	44	21v	21v	1	AI	6	1655	4091	2549	https://iiif.irht.cnrs.fr/iiif/ark:/63955/voubw3qd2d60/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_44.jpg	4098	4212
70	45	JJ200	JJ200	45	22r	22r	2	AF	8	1	3846	4247	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpf52238ty9d/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_45.jpg	3855	4254
71	46	JJ200	JJ200	46	22v	22v	0	AC	10	1	4069	2184	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vg1ss39gee58/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_46.jpg	4080	4254
72	46	JJ200	JJ200	46	22v	22v	1	AI	0	2179	4078	2037	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vg1ss39gee58/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_46.jpg	4080	4254
73	46	JJ200	JJ200	46	22v	22v	0	AC	0	2184	4080	2040	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vg1ss39gee58/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_46.jpg	4080	4254
74	47	JJ200	JJ200	47	23r	23r	2	AF	0	8	3951	2111	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp1cgfeulfj1/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_47.jpg	3951	4251
75	47	JJ200	JJ200	47	23r	23r	1	AI	1	2117	3949	2128	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp1cgfeulfj1/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_47.jpg	3951	4251
76	48	JJ200	JJ200	48	23v	23v	2	AF	17	6	3864	1558	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkl3ouxm3a35/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_48.jpg	3885	4212
77	48	JJ200	JJ200	48	23v	23v	1	AI	0	1561	3881	2645	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkl3ouxm3a35/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_48.jpg	3885	4212
78	49	JJ200	JJ200	49	24r	24r	2	AF	0	0	3951	3327	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3w8ccnrivhj/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_49.jpg	3951	4251
79	49	JJ200	JJ200	49	24r	24r	0	AC	4	3255	3945	973	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3w8ccnrivhj/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_49.jpg	3951	4251
80	50	JJ200	JJ200	50	24v	24v	0	AC	16	1	3909	4225	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7yzmsk1bmmx/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_50.jpg	3930	4230
81	51	JJ200	JJ200	51	25r	25r	0	AC	0	5	3853	3244	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpasnwvy012w/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_51.jpg	3855	4254
82	51	JJ200	JJ200	51	25r	25r	0	AC	10	3214	3843	1018	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpasnwvy012w/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_51.jpg	3855	4254
83	51	JJ200	JJ200	51	25r	25r	1	AI	7	3216	3847	1013	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpasnwvy012w/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_51.jpg	3855	4254
84	52	JJ200	JJ200	52	25v	25v	2	AF	17	1	3789	4155	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9f9x6rsoa0m/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_52.jpg	3807	4158
85	53	JJ200	JJ200	53	26r	26r	0	AC	10	6	3844	3880	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9mfuorgao6l/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_53.jpg	3855	4254
86	54	JJ200	JJ200	54	26v	26v	2	AF	7	12	3772	1971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vguicsidufn9/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_54.jpg	3780	4209
87	54	JJ200	JJ200	54	26v	26v	1	AI	5	1983	3774	2221	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vguicsidufn9/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_54.jpg	3780	4209
88	55	JJ200	JJ200	55	27r	27r	2	AF	1	11	4020	4266	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vokggd5qdr00/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_55.jpg	4023	4278
89	56	JJ200	JJ200	56	27v	27v	2	AF	0	5	3898	4165	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7vpyc0mjl2e/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_56.jpg	3900	4173
90	57	JJ200	JJ200	57	28r	28r	1	AI	0	4	3999	4240	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3f6ms12fbq0/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_57.jpg	4002	4251
91	58	JJ200	JJ200	58	28v	28v	2	AF	13	0	3876	1070	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vs6dxxrpyrwu/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_58.jpg	3894	4236
92	58	JJ200	JJ200	58	28v	28v	0	AC	0	1067	3889	3164	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vs6dxxrpyrwu/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_58.jpg	3894	4236
93	59	JJ200	JJ200	59	29r	29r	0	AC	19	1	3883	4243	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhu7hgq3j47z/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_59.jpg	3903	4251
94	60	JJ200	JJ200	60	29v	29v	0	AC	6	2	3950	4217	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbtrdv7pm7ht/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_60.jpg	3963	4224
95	61	JJ200	JJ200	61	30r	30r	2	AF	3	0	3981	4245	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlfqc4p41jlv/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_61.jpg	4002	4254
96	61	JJ200	JJ200	61	30r	30r	0	AC	1	2	4000	4246	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlfqc4p41jlv/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_61.jpg	4002	4254
97	62	JJ200	JJ200	62	30v	30v	1	AI	2	4	3919	4234	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq2ch5wmcvy6/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_62.jpg	3921	4254
98	63	JJ200	JJ200	63	31r	31r	2	AF	11	0	3890	1065	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnb2u0o2iinx/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_63.jpg	3903	4254
99	63	JJ200	JJ200	63	31r	31r	0	AC	3	1061	3897	3189	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnb2u0o2iinx/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_63.jpg	3903	4254
100	64	JJ200	JJ200	64	31v	31v	2	AF	9	0	3952	683	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8z2y33ipy8s/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_64.jpg	3966	4221
101	64	JJ200	JJ200	64	31v	31v	0	AC	0	688	3961	3531	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8z2y33ipy8s/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_64.jpg	3966	4221
102	65	JJ200	JJ200	65	32r	32r	0	AC	22	1	3947	2663	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbqy7db3bhqm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_65.jpg	3969	4179
103	65	JJ200	JJ200	65	32r	32r	0	AC	26	2637	3942	249	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbqy7db3bhqm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_65.jpg	3969	4179
104	65	JJ200	JJ200	65	32r	32r	0	AC	111	2871	3855	353	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbqy7db3bhqm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_65.jpg	3969	4179
105	65	JJ200	JJ200	65	32r	32r	0	AC	53	3235	3915	829	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbqy7db3bhqm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_65.jpg	3969	4179
106	66	JJ200	JJ200	66	32v	32v	0	AC	0	4	3877	1576	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkln9n6ra30a/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_66.jpg	3882	4164
107	66	JJ200	JJ200	66	32v	32v	1	AI	3	1580	3873	2562	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkln9n6ra30a/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_66.jpg	3882	4164
108	66	JJ200	JJ200	66	32v	32v	0	AC	13	1581	3862	2582	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkln9n6ra30a/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_66.jpg	3882	4164
109	67	JJ200	JJ200	67	33r	33r	2	AF	16	0	3886	815	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ye9g38pvjg/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_67.jpg	3903	4254
110	67	JJ200	JJ200	67	33r	33r	1	AI	8	812	3892	3424	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ye9g38pvjg/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_67.jpg	3903	4254
111	68	JJ200	JJ200	68	33v	33v	3	AM	4	1	3920	4239	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vurt5u4nkr75/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_68.jpg	3939	4245
112	69	JJ200	JJ200	69	34r	34r	2	AF	9	0	3892	1227	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfhtl83p9ew7/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_69.jpg	3903	4254
113	69	JJ200	JJ200	69	34r	34r	0	AC	10	1224	3891	3006	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfhtl83p9ew7/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_69.jpg	3903	4254
114	70	JJ200	JJ200	70	34v	34v	0	AC	7	0	3985	4217	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vs5owdesxvmo/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_70.jpg	3993	4230
115	71	JJ200	JJ200	71	35r	35r	0	AC	4	4	3907	2280	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vosjtf3ln914/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_71.jpg	3912	4221
116	71	JJ200	JJ200	71	35r	35r	0	AC	2	2283	3909	1930	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vosjtf3ln914/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_71.jpg	3912	4221
